almost heaven instrumental | source: The REV Theatre Company
almost heaven harmonica | source: The REV Theatre Company
almost heaven romantic | source: The REV Theatre Company
almost heaven jack solo guitar | source: The REV Theatre Company

once guy and girl romantic | source: broadwayworld.com
once guy and girl | source: broadwayworld.com
once full stage | source: broadwayworld.com
once busking | source: Winston-Salem Journal

JCS jesus with disciples | website
JCS jesus and disciple | website
JCS jesus solo guitar | website

Gentlemans multi-cast | website
Gentlemans hit | tibbits.org
Gentlemans hit reaction | tibbits.org

Assassins | website

oklahoma | website
oklahoma | website
oklahoma | website

bonnie-clyde-dramatic from The Rider News
bonnie-clyde when-i-drive | website
bonnie-clyde romantic | website

millbrook | website
millbrook | website
millbrook | website
